Title,Title_link,Price,productDate___3-wQt,count___1LWwo,unit_info___32SjE,Headline,Field1,Field2,Field3
Stikko Wafer Sticks Strawberry Flavor 14.11 oz,https://www.sayweee.com/en/product/Stikko-Wafer-Sticks-Strawberry-Flavor/39483,$5.49,,,$0.38/oz,Stikko Wafer Sticks Strawberry Flavor,,Indonesia,STIKKO
Crispi Roll 12 Grain Non-Fried Energy Snack Taro Flavor 180 g,https://www.sayweee.com/en/product/Crispi-Roll-12-Grain-Non-Fried-Energy-Snack-Taro-Flavor/31843,$2.99,,,,Crispi Roll 12 Grain Non-Fried Energy Snack Taro Flavor,(4),Taiwan,
Italy Party Wafers Strawberry Flavor  250 g,https://www.sayweee.com/en/product/Italy-Party-Wafers-Strawberry-Flavor-/64703,$3.78,50+ Sold,50+ Sold,,Italy Party Wafers Strawberry Flavor,(6),,
Crown 5-Grain Cookie  288 g,https://www.sayweee.com/en/product/Crown-5-Grain-Cookie-/24714,$5.99,50+ Sold,50+ Sold,,Crown 5-Grain Cookie,(14),South Korea,
La Monarca Bakery Cinnamon Cookies 6.8 oz,https://www.sayweee.com/en/product/La-Monarca-Bakery-Cinnamon-Cookies/41366,$5.99,,,$0.88/oz,La Monarca Bakery Cinnamon Cookies,(2),United States,
Pinky's Goodies Coffee Butterscotch Bars with Walnuts 7.6 oz,https://www.sayweee.com/en/product/Pinky-s-Goodies-Coffee-Butterscotch-Bars-with-Walnuts/44962,$6.99,,,$0.91/oz,Pinky's Goodies Coffee Butterscotch Bars with Walnuts,,Philippines,
Sunrise Otap Cinnamon Puff Pastry  250 g,https://www.sayweee.com/en/product/Sunrise-Otap-Cinnamon-Puff-Pastry-/27600,$3.99,,,,Sunrise Otap Cinnamon Puff Pastry,(3),Philippines,
"Haldirams Aloo Bhujia, Spicy Potato Noodles 400 g",https://www.sayweee.com/en/product/Haldirams-Aloo-Bhujia--Spicy-Potato-Noodles/11878,$4.99,,,,"Haldirams Aloo Bhujia, Spicy Potato Noodles",(1),India,Haldiram's
Haldirams PLAIN KHARI 400 g,https://www.sayweee.com/en/product/Haldirams-PLAIN-KHARI/11879,$4.99,,,,Haldirams PLAIN KHARI,(1),India,
Haldirams JEERA KHARI 400 g,https://www.sayweee.com/en/product/Haldirams-JEERA-KHARI/11881,$4.99,,,,Haldirams JEERA KHARI,(2),India,
Bellie Chocolate Flavored Cream Sandwich 190 g,https://www.sayweee.com/en/product/Bellie-Chocolate-Flavored-Cream-Sandwich/86687,$2.59,,,,Bellie Chocolate Flavored Cream Sandwich,,Malaysia,
Sir Norman Baker Pilipit 190 g,https://www.sayweee.com/en/product/Sir-Norman-Baker-Pilipit/85543,$2.69,50+ Sold,50+ Sold,,Sir Norman Baker Pilipit,,Philippines,
Croley Foods Sunflower Strawberry Cream Sandwich 190 g,https://www.sayweee.com/en/product/Croley-Foods-Sunflower-Strawberry-Cream-Sandwich/86248,$1.99,50+ Sold,50+ Sold,,Croley Foods Sunflower Strawberry Cream Sandwich,,Philippines,
Majestic Waffles Cookies Coconut Flavor  9 oz,https://www.sayweee.com/en/product/Majestic-Waffles-Cookies-Coconut-Flavor-/86272,$2.99,,,$0.33/oz,Majestic Waffles Cookies Coconut Flavor,,Vietnam,
"ZOZI Fruful Dried Fruit Cookies, Vanilla and Grapefruit 4.8 oz",https://www.sayweee.com/en/product/ZOZI-Fruful-Dried-Fruit-Cookies--Vanilla-and-Grapefruit/70831,$3.29,50+ Sold,50+ Sold,$0.68/oz,"ZOZI Fruful Dried Fruit Cookies, Vanilla and Grapefruit",(15),Mainland China,ZOZI
Pinky's Goodies Butterscotch Bars with Cashew Nuts 7.6 oz,https://www.sayweee.com/en/product/Pinky-s-Goodies-Butterscotch-Bars-with-Cashew-Nuts/50516,$5.99,,,$0.78/oz,Pinky's Goodies Butterscotch Bars with Cashew Nuts,,Philippines,
YIMENG Black Sesame Cake 135 g,https://www.sayweee.com/en/product/YIMENG-Black-Sesame-Cake/31632,$3.69,50+ Sold,50+ Sold,,YIMENG Black Sesame Cake,(8),Mainland China,
Gamesa Mamut Chocolate Coated Marshmallow Cookies 8.1 oz,https://www.sayweee.com/en/product/Gamesa-Mamut-Chocolate-Coated-Marshmallow-Cookies/71736,$4.19,,,$0.51/oz,Gamesa Mamut Chocolate Coated Marshmallow Cookies,(3),Mexico,
Angelina Ube Otap in Plastic Tub 19.4 oz,https://www.sayweee.com/en/product/Angelina-Ube-Otap-in-Plastic-Tub/9868,$6.59,,,$0.33/oz,Angelina Ube Otap in Plastic Tub,(5),Philippines,
Bourbon Mini Lumonde Caramel and Cocoa Cookies 6.17 oz,https://www.sayweee.com/en/product/Bourbon-Mini-Lumonde-Caramel-and-Cocoa-Cookies/23884,$5.49,50+ Sold,50+ Sold,$0.88/oz,Bourbon Mini Lumonde Caramel and Cocoa Cookies,(6),Japan,BOURBON
"Sable Samurai, Cookie Milk & Custard Flavor 30pcs 480 g",https://www.sayweee.com/en/product/Sable-Samurai--Cookie-Milk---Custard-Flavor-30pcs/1481,$11.59,50+ Sold,50+ Sold,,"Sable Samurai, Cookie Milk & Custard Flavor 30pcs",(4),Mainland China,SABLE
Raisin Sesame Sachima  227 g,https://www.sayweee.com/en/product/Raisin-Sesame-Sachima-/64436,$2.49,50+ Sold,50+ Sold,,Raisin Sesame Sachima,(18),Taiwan,
Cheng Fu Tang Taiwan Crispy Cookies 200 g,https://www.sayweee.com/en/product/Cheng-Fu-Tang-Taiwan-Crispy-Cookies/24221,$2.89,,,,Cheng Fu Tang Taiwan Crispy Cookies,(8),Taiwan,Cheng Fu Tang
FoYiShan Fresh Milk Crackers 200 g,https://www.sayweee.com/en/product/FoYiShan-Fresh-Milk-Crackers/25023,$4.99,50+ Sold,50+ Sold,,FoYiShan Fresh Milk Crackers,(43),Taiwan,FoYiShan
"Haldirams Bhujia, Plain 400 g",https://www.sayweee.com/en/product/Haldirams-Bhujia--Plain/11889,$5.29,,,,"Haldirams Bhujia, Plain",,India,Haldiram's
Pea Crackers Iron Plate Beef Flavor  200 g,https://www.sayweee.com/en/product/Pea-Crackers-Iron-Plate-Beef-Flavor-/12363,$5.69,,,,Pea Crackers Iron Plate Beef Flavor,(5),Taiwan,
Pea Crackers  Five Spice Stew Flavor  200 g,https://www.sayweee.com/en/product/Pea-Crackers--Five-Spice-Stew-Flavor-/12364,$5.69,,,,Pea Crackers  Five Spice Stew Flavor,(5),Taiwan,
"Tang Shop Muffins Mit Nougat, Yogurt Flavor   120 g",https://www.sayweee.com/en/product/Tang-Shop-Muffins-Mit-Nougat--Yogurt-Flavor--/5215,$13.99,,,$0.11/g,"Tang Shop Muffins Mit Nougat, Yogurt Flavor",(2),Taiwan,
Hsin Tung Yang Fried Sesame Cookie 5.7 oz,https://www.sayweee.com/en/product/Hsin-Tung-Yang-Fried-Sesame-Cookie/54070,$4.99,100+ Sold,100+ Sold,$0.87/oz,Hsin Tung Yang Fried Sesame Cookie,(74),Taiwan,HSIN TUNG YANG
HAITAI French Apple Pie 15pcs 192 g,https://www.sayweee.com/en/product/HAITAI-French-Apple-Pie-15pcs/35157,$4.99,,,,HAITAI French Apple Pie 15pcs,(3),South Korea,HAITAI
Skyflakes Snack Pack Crackers 10ct 250 g,https://www.sayweee.com/en/product/Skyflakes-Snack-Pack-Crackers-10ct/29814,$2.59,50+ Sold,50+ Sold,,Skyflakes Snack Pack Crackers 10ct,(19),Philippines,
"Lee's French Toasted Baguette Crisps, Butter Cream and Garlic Flavor 3 oz",https://www.sayweee.com/en/product/Lee-s-French-Toasted-Baguette-Crisps--Butter-Cream-and-Garlic-Flavor/34341,$3.39,,,$1.13/oz,"Lee's French Toasted Baguette Crisps, Butter Cream and Garlic Flavor",(3),Vietnam,
"Koobi Cookies, Malt Brown Sugar Flavor 98 g",https://www.sayweee.com/en/product/Koobi-Cookies--Malt-Brown-Sugar-Flavor/38830,$3.69,,,$0.03/g,"Koobi Cookies, Malt Brown Sugar Flavor",(3),Mainland China,
Franzzi Rich Aroma Dark Chocolate Cookies 126 g,https://www.sayweee.com/en/product/Franzzi-Rich-Aroma-Dark-Chocolate-Cookies/77763,$3.59,100+ Sold,100+ Sold,,Franzzi Rich Aroma Dark Chocolate Cookies,(18),Mainland China,FRANZZI
Garden Family Assorted Biscuits 1340 g,https://www.sayweee.com/en/product/Garden-Family-Assorted-Biscuits/83197,$24.99,,,,Garden Family Assorted Biscuits,,Mainland China,
"Millet crisp crust, Spicy Flavor  130 g",https://www.sayweee.com/en/product/Millet-crisp-crust--Spicy-Flavor-/83427,$2.09,100+ Sold,100+ Sold,,"Millet crisp crust, Spicy Flavor",(4),Mainland China,
Shrimp Crackers 42 g,https://www.sayweee.com/en/product/Shrimp-Crackers/84216,$5.89,50+ Sold,50+ Sold,$0.14/g,Shrimp Crackers,(4),Taiwan,
"Shrimp Crackers, Spicy Flavor 42 g",https://www.sayweee.com/en/product/Shrimp-Crackers--Spicy-Flavor/84217,$5.89,,,$0.14/g,"Shrimp Crackers, Spicy Flavor",(1),Taiwan,
"Sable Samurai, Cookie Milk & Custard Flavor 30pcs 480 g",https://www.sayweee.com/en/product/Sable-Samurai--Cookie-Milk---Custard-Flavor-30pcs/1481,$11.59,50+ Sold,50+ Sold,,"Sable Samurai, Cookie Milk & Custard Flavor 30pcs",(4),Mainland China,SABLE
"Totaste Egg Roll, Soy Milk Flavor 178 g",https://www.sayweee.com/en/product/Totaste-Egg-Roll--Soy-Milk-Flavor/7202,$7.29,100+ Sold,100+ Sold,$0.04/g,"Totaste Egg Roll, Soy Milk Flavor",(20),Mainland China,Totaste
Fortune Bakery Chewy Puff with Mochi and Red Bean 330 g,https://www.sayweee.com/en/product/Fortune-Bakery-Chewy-Puff-with-Mochi-and-Red-Bean/10136,$9.99,50+ Sold,50+ Sold,$0.03/g,Fortune Bakery Chewy Puff with Mochi and Red Bean,(5),United States,
Silang Coconut Cracker 364 g,https://www.sayweee.com/en/product/Silang-Coconut-Cracker/42350,$3.49,,,,Silang Coconut Cracker,(4),Mainland China,
Healthful Coffee Wafer Rolls 400 g,https://www.sayweee.com/en/product/Healthful-Coffee-Wafer-Rolls/45529,$14.99,50+ Sold,50+ Sold,$0.03/g,Healthful Coffee Wafer Rolls,(33),Taiwan,Healthful
Lotte Pepero Crunchy Value Pack 4pk 4.94 oz,https://www.sayweee.com/en/product/Lotte-Pepero-Crunchy-Value-Pack-4pk/44705,$5.99,,,$1.21/oz,Lotte Pepero Crunchy Value Pack 4pk,,South Korea,Lotte
Basraq Pororo Dr Grain Cheese Cookies 100 g,https://www.sayweee.com/en/product/Basraq-Pororo-Dr-Grain-Cheese-Cookies/40519,$2.99,,,,Basraq Pororo Dr Grain Cheese Cookies,(2),South Korea,
"Chia Seed, Spirulina, and Spring Onion Crackers 180 g",https://www.sayweee.com/en/product/Chia-Seed--Spirulina--and-Spring-Onion-Crackers/88935,$6.99,50+ Sold,50+ Sold,$0.03/g,"Chia Seed, Spirulina, and Spring Onion Crackers",(3),United States,
Rice Crust (Spicy Flavor) 80 g,https://www.sayweee.com/en/product/Rice-Crust--Spicy-Flavor-/86025,$2.49,100+ Sold,100+ Sold,$0.03/g,Rice Crust (Spicy Flavor),,Mainland China,
"WL Rice Cracker, Sesame Flavor 108 g",https://www.sayweee.com/en/product/WL-Rice-Cracker--Sesame-Flavor/85586,$2.79,50+ Sold,50+ Sold,,"WL Rice Cracker, Sesame Flavor",,Mainland China,
"SUN Pepper Crispy Rice Crackers,Honey Chicken Wing Flavor  108 g",https://www.sayweee.com/en/product/SUN-Pepper-Crispy-Rice-Crackers-Honey-Chicken-Wing-Flavor-/86799,$3.49,200+ Sold,200+ Sold,$0.03/g,"SUN Pepper Crispy Rice Crackers,Honey Chicken Wing Flavor",,Mainland China,
T.K Food Black Sesame Cookies 100 g,https://www.sayweee.com/en/product/T-K-Food-Black-Sesame-Cookies/16299,$3.29,,,$0.03/g,T.K Food Black Sesame Cookies,(22),Taiwan,
Five Multi-Grain Biscuit Cookies 330 g,https://www.sayweee.com/en/product/Five-Multi-Grain-Biscuit-Cookies/22726,$4.49,,,,Five Multi-Grain Biscuit Cookies,(1),South Korea,
Chung Hsiang Sweet Afternoon Sesame Nougat Sandwich Crackers 145 g,https://www.sayweee.com/en/product/Chung-Hsiang-Sweet-Afternoon-Sesame-Nougat-Sandwich-Crackers/43929,$6.89,100+ Sold,100+ Sold,$0.04/g,Chung Hsiang Sweet Afternoon Sesame Nougat Sandwich Crackers,(24),Taiwan,
CROWN Kook Hee Peanut Sand Cookies Family Size 3pk 1 box,https://www.sayweee.com/en/product/CROWN-Kook-Hee-Peanut-Sand-Cookies-Family-Size-3pk/48293,$11.99,,,$11.99/box,CROWN Kook Hee Peanut Sand Cookies Family Size 3pk,,South Korea,
Sweet Potato Cookie 400 g,https://www.sayweee.com/en/product/Sweet-Potato-Cookie/84218,$7.79,,,,Sweet Potato Cookie,,Taiwan,
Sunflower Butter Cream Cookies Regular 250 g,https://www.sayweee.com/en/product/Sunflower-Butter-Cream-Cookies-Regular/87160,$3.49,,,,Sunflower Butter Cream Cookies Regular,,Philippines,
Sunflower Butter Cream Chocolate Crackers 250 g,https://www.sayweee.com/en/product/Sunflower-Butter-Cream-Chocolate-Crackers/86775,$3.49,,,,Sunflower Butter Cream Chocolate Crackers,,Philippines,
Fibisco Jolly Cream Sandwich Cookies 7 g,https://www.sayweee.com/en/product/Fibisco-Jolly-Cream-Sandwich-Cookies/42169,$2.49,,,$0.35/g,Fibisco Jolly Cream Sandwich Cookies,(1),Philippines,Fibisco
Oh Ma Grain Popped Rice Cracker Sea Salt 1.5 oz,https://www.sayweee.com/en/product/Oh-Ma-Grain-Popped-Rice-Cracker-Sea-Salt/35387,$3.29,,,$2.19/oz,Oh Ma Grain Popped Rice Cracker Sea Salt,(1),Indonesia,
Oh Ma Grain Popped Rice Cracker Fried Garlic 1.5 oz,https://www.sayweee.com/en/product/Oh-Ma-Grain-Popped-Rice-Cracker-Fried-Garlic/35391,$3.29,,,$2.19/oz,Oh Ma Grain Popped Rice Cracker Fried Garlic,(2),Indonesia,
Hokkaido Jaga Butter Cookies 72 g,https://www.sayweee.com/en/product/Hokkaido-Jaga-Butter-Cookies/85386,$4.49,50+ Sold,50+ Sold,$0.06/g,Hokkaido Jaga Butter Cookies,(2),Japan,
Xiyang Salted Egg Yolk Cracker Seaweed Flavor 300 g,https://www.sayweee.com/en/product/Xiyang-Salted-Egg-Yolk-Cracker-Seaweed-Flavor/84919,$6.69,,,,Xiyang Salted Egg Yolk Cracker Seaweed Flavor,(1),Mainland China,
Donde Globitos 5.3 oz,https://www.sayweee.com/en/product/Donde-Globitos/84364,$1.29,,,$0.24/oz,Donde Globitos,,Mexico,
Sun Pepper Crispy Rice Crackers Spicy 108 g,https://www.sayweee.com/en/product/Sun-Pepper-Crispy-Rice-Crackers-Spicy/86797,$3.49,300+ Sold,300+ Sold,$0.03/g,Sun Pepper Crispy Rice Crackers Spicy,,Mainland China,
TresBon Bubble Gum Mini Pie Cookies 7.34 oz,https://www.sayweee.com/en/product/TresBon-Bubble-Gum-Mini-Pie-Cookies/40508,$4.99,,,$0.67/oz,TresBon Bubble Gum Mini Pie Cookies,(2),Indonesia,Tresbon
La Monarca Bakery Wedding Cookies 7 oz,https://www.sayweee.com/en/product/La-Monarca-Bakery-Wedding-Cookies/41365,$5.99,,,$0.85/oz,La Monarca Bakery Wedding Cookies,(1),United States,La Monarca Bakery
Stikko Wafer Sticks Vanilla Flavor 14.11 oz,https://www.sayweee.com/en/product/Stikko-Wafer-Sticks-Vanilla-Flavor/39484,$4.99,,,$0.35/oz,Stikko Wafer Sticks Vanilla Flavor,,Indonesia,STIKKO
Marky's Pilipit Twisted Pastry Biscuits 200 g,https://www.sayweee.com/en/product/Marky-s-Pilipit-Twisted-Pastry-Biscuits/16331,$3.89,,,,Marky's Pilipit Twisted Pastry Biscuits,(6),Philippines,
"Huajiao Rice Crust, Peppercorn Flavor 158 g",https://www.sayweee.com/en/product/Huajiao-Rice-Crust--Peppercorn-Flavor/30848,$2.49,200+ Sold,"200+ Sold,10 Left",,"Huajiao Rice Crust, Peppercorn Flavor",(3),Mainland China,
"Haobalaiba Millet Crisp Crust, Spicy Flavor 105 g",https://www.sayweee.com/en/product/Haobalaiba-Millet-Crisp-Crust-Spicy-Flavor/31524,$1.49,200+ Sold,200+ Sold,,"Haobalaiba Millet Crisp Crust, Spicy Flavor",(14),Mainland China,
Shastha Ajwain Crispy Vadam ( 100g x 48 Pkts ) MH 100 g,https://www.sayweee.com/en/product/Shastha-Ajwain-Crispy-Vadam---100g-x-48-Pkts---MH/11550,$1.29,,,,Shastha Ajwain Crispy Vadam ( 100g x 48 Pkts ) MH,(4),India,
TRESBON PREMIUM MATCHA CRACKER 240 g,https://www.sayweee.com/en/product/TRESBON-PREMIUM-MATCHA-CRACKER/22502,$3.99,,,,TRESBON PREMIUM MATCHA CRACKER,(2),Indonesia,
Bourbon Kikori No Kirikabu Milk Chocolate Cookies 1 box,https://www.sayweee.com/en/product/Bourbon-Kikori-No-Kirikabu-Milk-Chocolate-Cookies/98744,$2.99,,,$2.99/box,Bourbon Kikori No Kirikabu Milk Chocolate Cookies,,Japan,BOURBON
"Dragonfly Brand Biscuit Sticks, Spicy  14 oz",https://www.sayweee.com/en/product/Dragonfly-Brand-Biscuit-Sticks--Spicy-/43861,$4.99,,,$0.35/oz,"Dragonfly Brand Biscuit Sticks, Spicy",(1),Thailand,Dragonfly
Dragonfly Brand Corn Roll Cookie 4 oz,https://www.sayweee.com/en/product/Dragonfly-Brand-Corn-Roll-Cookie/48854,$1.99,,,$0.49/oz,Dragonfly Brand Corn Roll Cookie,(1),Thailand,Dragonfly
Ginbis Butter Biscuits 63 g,https://www.sayweee.com/en/product/Ginbis-Butter-Biscuits/83882,$1.89,100+ Sold,100+ Sold,$0.03/g,Ginbis Butter Biscuits,(2),Japan,Ginbis
"Aji Lava Cake, Cheese Flavor 220 g",https://www.sayweee.com/en/product/Aji-Lava-Cake--Cheese-Flavor/7208,$6.79,200+ Sold,200+ Sold,$0.03/g,"Aji Lava Cake, Cheese Flavor",(7),Mainland China,AJI
TresBon Lemon Mini Pie Cookies 7.34 oz,https://www.sayweee.com/en/product/TresBon-Lemon-Mini-Pie-Cookies/41019,$6.49,,,$0.88/oz,TresBon Lemon Mini Pie Cookies,(2),Indonesia,Tresbon
Oh Ma Grain Popped Rice Cracker Original 1.5 oz,https://www.sayweee.com/en/product/Oh-Ma-Grain-Popped-Rice-Cracker-Original/35392,$3.29,,,$2.19/oz,Oh Ma Grain Popped Rice Cracker Original,(1),Indonesia,
"Mincher Brittle Biscuits, Lemon and Chocolate Flavor 5.08 oz",https://www.sayweee.com/en/product/Mincher-Brittle-Biscuits--Lemon-and-Chocolate-Flavor/39348,$5.89,,,$1.15/oz,"Mincher Brittle Biscuits, Lemon and Chocolate Flavor",(1),Taiwan,
CROWN Choco Heim Chocolate Wafers with Hazelnut Family 4pk 1 box,https://www.sayweee.com/en/product/CROWN-Choco-Heim-Chocolate-Wafers-with-Hazelnut-Family-4pk/48292,$14.99,,,$14.99/box,CROWN Choco Heim Chocolate Wafers with Hazelnut Family 4pk,(3),South Korea,
Bubble Milk Tea Grains Snack  6.3 oz,https://www.sayweee.com/en/product/Bubble-Milk-Tea-Grains-Snack-/84285,$8.99,,,$1.42/oz,Bubble Milk Tea Grains Snack,(1),Taiwan,
